Country,Population_Growth_Rate,Exports of goods and services_Growth_Rate,Gross capital formation_Growth_Rate,Final consumption expenditure_Growth_Rate,Government_Expenditure_Growth_Rate,GDP_Growth_Rate
Albania,2.734901323,2.932947822,2.832114939,2.877130027,,2.872308541
Albania,2.734901323,2.932947822,2.832114939,2.877130027,2.864116935,2.872308541
Albania,2.65826698,2.73085431,3.03168017,2.846975707,2.825527719,2.878675773
Albania,2.579553696,2.971091331,2.672070872,2.906070403,2.988045347,2.857130114
Albania,2.501303447,3.097021114,2.792826552,2.878352907,2.778892771,2.881123228
Albania,2.393776588,2.12589578,3.631431936,2.756510608,2.709687057,2.897782021
Albania,2.256629667,3.695735605,1.600139054,3.083504635,3.476335162,2.792547322
Albania,2.108948589,3.473812751,3.157539048,2.795417777,2.154393639,2.953169805
Albania,1.957036883,-19.54489307,-13.93282443,-16.9866588,-16.89730973,-16.53499862
Albania,1.830818243,-4.373511405,-15.69473527,-8.31459213,-6.800580839,-9.714961935
Albania,1.724813719,2.843157246,8.064207868,1.94088669,-1.720429895,3.438063366
Albania,1.630469835,-13.22577819,15.08399648,1.169421069,3.57403355,2.931656907
Albania,1.536640888,-5.054100217,-8.374308556,4.948414216,3.309859293,1.094515332
Albania,1.418920429,-5.536528642,-12.20861982,3.640997689,5.862303873,-1.286038975
Albania,1.277219016,-4.768016462,8.347659922,0.553311084,0.96587244,2.139004994
Albania,2.079341683,-2.533957712,-15.07404794,8.725652849,6.058673661,2.313716208
Albania,0.782752814,9.583849486,8.302708576,4.306778624,1.476620743,3.456620276
Albania,0.587278223,30.88195274,29.71292125,14.65766955,11.31282699,19.51660373
Albania,0.392543741,-39.51968029,-43.81347541,-13.32161821,-15.4990476,-27.02982148
Albania,-0.720319411,25.48587955,-16.97747378,97.63419041,32.03877883,49.11523808
Albania,-0.538374136,-38.95914678,-15.83335163,-29.35957365,-22.53199794,-30.47177702
Albania,-0.662134622,30.04119607,47.31292515,11.32483726,18.04505293,14.84341206
Albania,-0.739904244,83.88272092,40.03131927,14.0451802,22.52068779,26.09923916
Albania,-7.997200975,457.7145935,488.6366906,268.496907,298.5355438,299.8346013
Albania,-0.716471146,-6.726798284,-9.68868806,-7.999912559,0.081762596,-6.498864904
Albania,-0.58494319,9.771105185,-13.14965872,-3.886478745,-0.546320895,-0.97359729
Albania,-0.437461535,12.9572434,12.02202495,8.090222543,6.307245233,8.081908432
Albania,-0.291692839,-5.423932686,-13.81582868,-4.924689678,-5.556666776,-4.430217447
Albania,-0.179068271,3.629580552,2.694880685,6.324810946,5.433222752,3.705432635
Albania,-0.100865462,1.019210766,-5.238624302,4.88420409,7.541456401,3.537487554
Albania,-0.05620467,-16.80471485,-13.43558282,-14.32443284,-16.48451905,-13.91957823
Albania,-0.049193733,10.70086779,1.765001192,4.648617601,5.654098064,4.166459374
Albania,-0.059283674,19.58385829,9.020561099,8.428311478,11.99727144,9.765943801
Albania,-0.081337661,16.41915276,11.10314679,15.50125786,14.26662526,16.41132447
Albania,-0.108793391,0.75754545,-2.195742648,2.690350948,2.163075322,1.619022096
Albania,-0.244755963,-28.74435626,-0.952154933,-0.601527333,2.798914284,-1.752777934
Algeria,2.335015394,48.02608325,28.81717704,28.65835348,,33.7968246
Algeria,2.335015394,48.02608325,28.81717704,28.65835348,28.27095457,33.7968246
Algeria,2.401156862,60.53696337,50.96623934,19.95138349,12.10582054,28.61024602
Algeria,2.482898385,117.8846112,55.33237149,20.50281175,24.91671467,43.66530246
Algeria,3.768674933,2.449886284,33.49330288,31.84175316,42.31593128,17.31390031
Algeria,4.93379457,11.55944965,8.779247099,8.699076639,10.02228233,14.10741386
Algeria,3.840340508,9.441724575,28.36552257,24.92370376,25.85654808,18.25859561
Algeria,2.90911296,5.091917823,39.93469468,21.79605367,31.7086697,25.6435513
Algeria,3.030379163,53.90061511,2.565048038,19.41248347,23.24257471,25.88812237
Algeria,3.150754658,40.40291898,17.16228489,22.3088855,28.39315354,27.26016293
Algeria,3.265738062,5.455856451,-0.830340761,9.096590583,4.840760754,4.762770906
Algeria,3.352421228,-8.800418717,2.614593117,4.484857516,9.337150677,1.875697854
Algeria,3.410058632,-2.431768272,8.88317606,7.029792955,8.508313188,7.99949367
Algeria,3.439779431,-0.457373373,1.251600879,12.68475096,9.039176356,8.471281047
Algeria,3.45606826,0.495795501,3.651745669,11.39711078,15.68113559,9.537204403
Algeria,3.387029403,-39.68571718,20.33495928,20.53612965,23.08697739,8.738427533
Algeria,3.074604481,14.7923592,-16.41615361,-1.38605463,6.317882343,2.24207182
Algeria,2.78518692,-10.73688974,-14.3727303,7.55411104,-7.907955093,-8.826120493
Algeria,2.666701811,21.61112847,2.101531973,-6.376965622,-15.51544458,-5.644733754
Algeria,2.525429692,41.01971549,5.687237019,1.964815978,8.068445203,11.57640179
Algeria,2.413313011,-7.754462558,-19.27234282,-34.26961027,-30.98481461,-24.59276821
Algeria,2.350961328,-8.622222243,1.432025166,13.33069782,21.93361238,5.455922305
Algeria,2.265654012,-11.37957973,-1.67106829,11.04795798,11.98102542,3.546191053
Algeria,2.13011638,-9.585497317,-7.317526209,-15.73179725,-20.54630935,-16.7487381
Algeria,1.936556838,14.45491215,-0.494213504,-2.828455348,-5.188565524,-0.848610185
Algeria,1.778957822,27.66479813,-11.34644268,4.132672367,3.731464571,11.59073043
Algeria,1.695370726,1.61296505,-4.711853509,3.036821315,7.619815624,2.630794446
Algeria,1.52204006,-23.46050346,17.43791414,7.089096054,7.601691582,0.021949833
Algeria,1.408252884,23.306795,-3.105060881,-5.175705594,-4.76587549,0.940168697
Algeria,1.412169076,68.34282735,0.917469683,-9.144178353,-8.851050771,12.64317876
Algeria,1.385440295,-12.86205608,17.43449024,5.951375752,8.677891544,0.713111997
Algeria,1.358005204,0.333884101,16.34537568,5.373537837,8.672675326,3.201203079
Algeria,1.363450261,29.0910096,17.36206504,11.15060604,14.28564575,19.43821563
Algeria,1.417221918,31.67260116,37.85403738,19.01999709,16.98554395,25.74075266
Algeria,1.373428008,42.5311896,15.09350857,4.483286121,0.54527509,20.70427855
Algeria,1.451571745,17.25734608,8.0774698,7.697771425,11.23313556,13.59223301
Algeria,1.641231306,11.22061006,31.77279345,16.39686637,19.56817953,15.38461538
Algeria,1.723658139,29.12506946,37.26995625,26.85555166,43.69749183,26.66666667
Algeria,1.812127259,-40.83751411,0.710202437,-0.684117806,-1.906091222,-19.88304094
Algeria,1.876083378,27.69538373,3.838630787,12.76913269,25.35842562,17.51824818
Algeria,1.916528355,25.18078461,13.96755132,25.15347871,48.8574109,24.22360248
Algeria,1.962103235,-0.590705585,7.549573685,5.769230769,2.752415383,4.5
Algeria,1.986183086,-9.677546543,11.17710173,2.727272727,-5.470821593,0.4784689
Algeria,1.99876181,-7.246590029,7.016475129,6.194690265,5.38373352,1.904761905
